		gedaan - km	te gaan - km	gem.	max.	lengte

strook 1	Doorn	109.0	159.9			1650m
helling 1	Oude Kwaremont (kasseien)	128.9	140.0	4.0%	11.6%	1500m
helling 2	Eikenberg (kasseien)	144.8	124.1	5.2%	10.0%	1200m
helling 3	Wolvenberg	148.0	120.9	7.9%	17.3%	645m
strook 2	Holleweg	148.0	120.9			1100m
strook 3	Karel Martelstraat	149.2	119.7			1200m
strook 4	Jagerij	152.0	116.9			800m
helling 4	Molenberg (kasseien)	157.9	111.0	7.0%	14.2%	463m
strook 5	Paddestraat	162.8	106.1			2300m
helling 5	Berendries	177.4	91.5	7.0%	12.3%	940m
helling 6	Valkenberg	182.8	86.1	8.1%	12.8%	540m
helling 7	Berg Ten Houte (kasseien)	195.2	73.7	6.0%	21.0%	1100m
helling 8	Nieuwe Kruisberg/Hotond	204.7	64.2	4.0%	8.5%	2700m
helling 9	Oude Kwaremont (kasseien)	214.6	54.3	4.0%	11.6%	1500m
helling 10	Paterberg (kasseien)	218.0	50.9	12.9%	20.3%	360m
helling 11	Koppenberg (kasseien)	224.3	44.6	11.6%	22.0%	600m
strook 6	Mariaborrestraat	228.3	40.6			400m
helling 12	Steenbeekdries (kasseien)	229.7	39.2	3.1%	7.6%	1100m
strook 7	Stationsberg	230.2	38.7			700m
helling 13	Taaienberg (kasseien)	232.1	36.8	6.6 %	15.8 %	530 m
helling 14	Oude Kruisberg/Hotond (kasseien)	242.4	26.5	4.1%	9.4%	2700m
helling 15	Oude Kwaremont (kasseien)	252.2	16.7	4.0%	11.6%	2200m
helling 16	Paterberg (kasseien)	255.7	13.2	12.9%	20.3%	360m